Alabama,5.099,53.1
Alaska,0.733,62.8
Arizona,7.454,61.5
Arkansas,3.063,49.8
California,38.916,69.7
Colorado,5.869,52.3
Connecticut,3.629,55.7
Delaware,1.032,59.6       
Florida,22.662,64.1
Georgia,11.038,64.1
Hawaii,1.433,76
Idaho,1.974,35.9
Illinois,12.478,60.3
Indiana,6.853,41.3
Iowa,3.203,30.8
Kansas,2.936,45.4
Kentucky,4.518,32.8
Louisiana,4.553,58.6
Maine,1.393,18.5
Maryland,6.155,67.3
Massachusetts,6.974,51.6
Michigan,10.030,45.2
Minnesota,5.723,40.5
Mississippi,2.931,55.9
Missouri,6.186,40.8
Montana,1.140,30.1
Nebraska,1.972,40.8
Nevada,3.209,68.6
New Hampshire,1.402,23.6
New Jersey,9.225,65.8
New Mexico,2.110,63
New York,19.497,65.8
North Carolina,10.832,60.5
North Dakota,0.781,32.6
Ohio,11.748,40.4
Oklahoma,4.048,59.5
Oregon,4.224,46.1
Pennsylvania,12.932,44
Rhode Island,1.090,49.4
South Carolina,5.372,57.9
South Dakota,0.923,35.6
Tennessee,7.134,46.6
Texas,30.500,67
Utah,3.422,40.7
Vermont,0.647,20.2
Virginia,8.710,60.5
Washington,7.831,55.9
West Virginia,1.765,20.2
Wisconsin,5.905,37
Wyoming,0.583,32.4
Washington DC,0.632,67.2
